Time,AD3_0_ai0,AD3_0_ai1
54.3 sec,2.97074808945821,3.03199106975709
54.4 sec,2.97074808945821,3.03199106975709
54.5 sec,2.96983519315748,3.03107708155867
54.6 sec,2.97074808945821,3.03199106975709
54.7 sec,2.96983519315748,3.03199106975709
54.8 sec,2.97074808945821,3.0329050579555
54.9 sec,2.96892229685676,3.03199106975709
55 sec,2.97074808945821,3.0329050579555
55.1 sec,2.96983519315748,3.0329050579555
55.2 sec,2.96892229685676,3.0329050579555
55.3 sec,2.96892229685676,3.0329050579555
55.4 sec,2.96983519315748,3.03381904615392
55.5 sec,2.96983519315748,3.0329050579555
55.6 sec,2.96983519315748,3.0329050579555
55.7 sec,2.96983519315748,3.03199106975709
55.8 sec,2.96983519315748,3.03199106975709
55.9 sec,2.97074808945821,3.03199106975709
56 sec,2.97074808945821,3.0329050579555
56.1 sec,2.96892229685676,3.03199106975709
56.2 sec,2.96800940055603,3.03107708155867
56.3 sec,2.96892229685676,3.03199106975709
56.4 sec,2.96892229685676,3.03199106975709
56.5 sec,2.96800940055603,3.03199106975709
56.6 sec,2.96892229685676,3.03199106975709
56.7 sec,2.96892229685676,3.03199106975709
56.8 sec,2.96800940055603,3.03199106975709
56.9 sec,2.96800940055603,3.03199106975709
57 sec,2.96800940055603,3.03199106975709
57.1 sec,2.96800940055603,3.03199106975709
57.2 sec,2.96709650425531,3.03107708155867
57.3 sec,2.96709650425531,3.03016309336026
57.4 sec,2.96709650425531,3.03199106975709
57.5 sec,2.96800940055603,3.03199106975709
57.6 sec,2.96800940055603,3.03199106975709
57.7 sec,2.96800940055603,3.03107708155867
57.8 sec,2.96800940055603,3.03199106975709
57.9 sec,2.96892229685676,3.03107708155867
58 sec,2.96892229685676,3.03199106975709
58.1 sec,2.96892229685676,3.03199106975709
58.2 sec,2.96709650425531,3.03107708155867
58.3 sec,2.96800940055603,3.03107708155867
58.4 sec,2.96800940055603,3.03107708155867
58.5 sec,2.96709650425531,3.03199106975709
58.6 sec,2.96800940055603,3.03107708155867
58.7 sec,2.96800940055603,3.03199106975709
58.8 sec,2.96983519315748,3.03199106975709
58.9 sec,2.96892229685676,3.03199106975709
59 sec,2.96892229685676,3.03199106975709
59.1 sec,2.96983519315748,3.0329050579555
59.2 sec,2.96983519315748,3.0329050579555
59.3 sec,2.96892229685676,3.0329050579555
59.4 sec,2.96983519315748,3.0329050579555
59.5 sec,2.96983519315748,3.03199106975709
59.6 sec,2.96983519315748,3.0329050579555
59.7 sec,2.96983519315748,3.0329050579555
59.8 sec,2.97074808945821,3.03381904615392
59.9 sec,2.97166098575893,3.03473303435233
60 sec,2.97257388205966,3.03564702255075
60.1 sec,2.97074808945821,3.03473303435233
60.2 sec,2.97074808945821,3.03473303435233
